titre_initiative,resume_initiative,tag_besoin_niv1_code,tag_besoin_niv2_code,tag_produit_niv1_code,tag_produit_niv2_code,tag_structure_niv1_code,nom_structure,url_initiative,contact_mail,contact_tel,materiel_utilise,machine_utilisee,capacite_production,version,adresse,code_postal,ville,pays,url_illustration,commentaires,source,est_actif,langue,auteur_data,validation,notes_validation,a_publier,date_maj
(Adaptador Mascara decathlon- Filtro) Adaptateur de masque Decathlon - Filtre,,SANTE,PROTECTION,DIY,MASQUE_SNORKLING,INDIVIDU,,https://www.thingiverse.com/thing:4227369,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.26.13.png,Accessoire pour adapter les masques décathlon - prototype,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=8,OUI,
Thermoformed mask,,SANTE,PROTECTION,DIY,MASQUE_I3D,-,,https://www.thingiverse.com/thing:4234658,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.26.48.png,proto!!,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=9,OUI,
Mold for DIY Protective Face Mask - 3D Printed form for making paper pulp masks,,SANTE,PROTECTION,DIY,RESPIRATEUR_VENTILATOR,-,,https://www.instructables.com/id/DIY-Protective-Face-Mask/,,,-,-,-,-,NA,NA,NA,NA,https://content.instructables.com/FLL/8LME/K7NSTSU0/FLL8LMEK7NSTSU0.LARGE.jpg?auto=webp&frame=1&width=400&height=1024&fit=bounds,moule pour masque en papier maché,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=10,OUI,
DIY mask for basic protection from corona,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://www.youtube.com/watch?v=oLEE8RcyYo8,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.31.17.png,vidéo youtube de pliage,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=11,OUI,
Face Mask Sewing Pattern,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://www.craftpassion.com/wp-json/mv-create/v1/creations/19/print,,,-,-,-,-,NA,NA,NA,NA,https://www.craftpassion.com/wp-content/uploads/2013/08/IMG_20200129_104428.jpg,masque en tissu,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=12,OUI,
A.B. Mask - for a Nurse by a Nurse,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,nurse,https://www.instructables.com/id/AB-Mask-for-a-Nurse-by-a-Nurse/,,,-,-,-,-,NA,NA,NA,NA,https://content.instructables.com/F18/BZ2Z/K7VYJGJ1/F18BZ2ZK7VYJGJ1.LARGE.jpg?auto=webp&frame=1&width=564&height=1024&fit=bounds,masque par une infirmière,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=13,OUI,
MY FACE MASK: Masque avec filtre interchangeable,,SANTE,PROTECTION,DIY,MASQUE_I3D,ENTREPRISE,WASP 3D Printers,https://www.3dwasp.com/mascherina-stampata-3d-da-scansione-3d/?fbclid=IwAR2a7v_y6ly8GL_ghWONz9M68LNunH3YVz77F0wkIo_SmvZKoWUgNNHCnCM,,,-,-,-,-,NA,NA,NA,NA,https://www.3dwasp.com/wp-content/uploads/2020/03/3D-printed-mask-from-3D-scanning-MY-FACE-MASK-side2.jpg,3D printed avec filtre remplaçable,,,fr/it/en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=14,OUI,
How to make masks out of vacuum bags,,SANTE,PROTECTION,DIY,MASQUE_TISSU,INDIVIDU,,https://www.youtube.com/watch?v=-fBWTDoa7x4,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.33.34.png,Tuto video masque en tissu,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=15,OUI,
Naehanleitung - Instruction de couture (Allemand),,SANTE,PROTECTION,DIY,MASQUE_TISSU,-,,https://media.essen.de/media/wwwessende/aemter/0115_1/pressereferat/Mund-Nasen-Schutz__Naehanleitung_2020_Feuerwehr_Essen.pdf,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.36.41.png,pdf en Allemand,,,de,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=15,OUI,
Tutoriel masque sans couture réutilisable lavable DIY covid19,,SANTE,PROTECTION,DIY,MASQUE_TISSU,GROUPE,Fablab Bordeau,https://www.youtube.com/watch?v=LnBb9Z8gdF4,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.37.58.png,Tuto vidéo masque en tissu basique,,,fr,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=16,OUI,
COV3D - FFF (FDM) 3d-print optimised mask that can be customised by photogrammetry,,SANTE,PROTECTION,DIY,MASQUE_I3D,-,,https://grabcad.com/library/cov3d-fff-fdm-3d-print-optimised-mask-that-can-be-customised-by-photogrammetry-2,,,-,-,-,-,NA,NA,NA,NA,https://d2t1xqejof9utc.cloudfront.net/screenshots/pics/6cf92e22be0daee7b66d6e405fe15c5e/large.JPG,,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=17,OUI,
Pleated mask,,SANTE,PROTECTION,DIY,MASQUE_TISSU,-,,https://drive.google.com/drive/folders/1och-RQ45PvDtQw7VVZ7XxIcs5e21qhUp,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.39.31.png,Pas clair ce truc,,,en,CG,NR,sur le groupe : https://docs.google.com/spreadsheets/d/1e81ceSrVT6Bl4UaS1SxIUUUzgZAdkIstU7Hzot08Ld8/edit#gid=18,OUI,
Emergency mask for hospital ventilators (with decathlon masks),Ils travaillent notamment sur les valves,SANTE,HOPITAL,DIY,MASQUE_SNORKLING,INSTITUTION,Isinnova,https://www.isinnova.it/easy-covid19-eng/,,,PLA,-,-,-,NA,NA,NA,NA,https://www.isinnova.it/wp-content/uploads/2020/03/DSC3147-scaled.jpg,,,,en,CG,UTILISE_DANS_STRUCT_MEDICALE_ETR,"Sur grp il est noté que : Testée au Chiari Hospital (Italie). 500 patients équipés
sur le groupe (Mathilde) : https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?userstoinvite=remy.seillier@francetierslieux.fr&ts=5e78b17e&actionButton=1#gid=1181031314",OUI,
Door Opener - Covid 19,,SANTE,PROTECTION,DIY,PORTE,INDIVIDU,,https://www.thingiverse.com/thing:4229393,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.41.42.png,Ouvreur de porte en I3D,,,en,CG,NR,sur le groupe (Mathilde) : https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?userstoinvite=remy.seillier@francetierslieux.fr&ts=5e78b17e&actionButton=1#gid=1181031315,OUI,
Hands-Free 3D-Printed Door Openers to Help Against the Spread of Coronavirus,,SANTE,PROTECTION,DIY,PORTE,ENTREPRISE,Materialize,https://www.materialise.com/en/hands-free-door-opener?elqTrackId=20b7e0f7116d499a97ad8f3b66dabb8b&elqaid=4271&elqat=2,,,-,-,-,-,NA,NA,NA,NA,https://www.materialise.com/sites/default/files/image-uploads/pages/Corporate/hands-free-door-opener-drawing-white.png,Ouvreur de porte en I3D,,,en,CG,NR,sur le groupe (Mathilde) : https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?userstoinvite=remy.seillier@francetierslieux.fr&ts=5e78b17e&actionButton=1#gid=1181031316,OUI,
Circular hands-free opener for front door bar (COVID19) - Sur-poignée de porte ,,SANTE,PROTECTION,DIY,PORTE,INDIVIDU,,https://www.thingiverse.com/thing:4232342,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.42.36.png,Sur-poignée de porte en I3D pour bares,,,en,CG,NR,sur le groupe (Mathilde) : https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?userstoinvite=remy.seillier@francetierslieux.fr&ts=5e78b17e&actionButton=1#gid=1181031317,OUI,
Hands-free opener for door L-handle 19mm without screws (COVID19) - Sur-poignée de porte ,,SANTE,PROTECTION,DIY,PORTE,INDIVIDU,,https://www.thingiverse.com/thing:4232365,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.43.42.png,Sur-poignée en I3D,,,en,CG,NR,sur le groupe (Mathilde) : https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?userstoinvite=remy.seillier@francetierslieux.fr&ts=5e78b17e&actionButton=1#gid=1181031318,OUI,
Prototype of Open-source ventilator  that can be made anywhere locally,,SANTE,HOPITAL,DIY/INDUSTRIEL,RESPIRATEUR_VENTILATOR,GROUPE,,https://www.ventilaid.org/,,,-,-,-,-,NA,NA,NA,NA,https://www.ventilaid.org/wp-content/uploads/2020/03/vent.png,Projet respirateur proto en cours de test,,,en,CG,NR,sur le site ils indique que des test cliniques d'un proto sont en cours - lle proto n'a pas vocation a servire en milieu hospitalier !!le groupe (Mathilde) : https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?userstoinvite=remy.seillier@francetierslieux.fr&ts=5e78b17e&actionButton=1#gid=1181031319,OUI,
Low-Cost Open-Source Ventilator-ish Device or PAPR,,SANTE,HOPITAL,DIY/INDUSTRIEL,RESPIRATEUR_VENTILATOR,GROUPE,,https://github.com/jcl5m1/ventilator,,,-,-,-,-,NA,NA,NA,NA,https://raw.githubusercontent.com/jcl5m1/ventilator/master/images/full%20system.jpg,respirtauer open source,,,en,CG,NR,sur le groupe (Mathilde) : https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?userstoinvite=remy.seillier@francetierslieux.fr&ts=5e78b17e&actionButton=1#gid=1181031318,OUI,
Specifications for simple open source mechanical ventilator,,SANTE,HOPITAL,DIY/INDUSTRIEL,RESPIRATEUR_VENTILATOR,GROUPE,,https://docs.google.com/document/d/1FNPwrQjB1qW1330s5-S_-VB0vDHajMWKieJRjINCNeE/mobilebasic,,,-,-,-,-,NA,NA,NA,NA,https://lh4.googleusercontent.com/rait6VNvbchYbzyYsXKKDK7g7pJTnQecoun_HBct8B7y9BOPB6wj36j4VJ14Fw6KUKKpWBbnAZWqHSdj47zTXDJ6qBx2hdHovZRXwC_2LdW-eCMr2_8jI7I9cqOR7X-ElVEFFs9j=s800,spécification pour prod,,,en,CG,NR,sur le groupe (Mathilde) : https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?userstoinvite=remy.seillier@francetierslieux.fr&ts=5e78b17e&actionButton=1#gid=1181031319,OUI,
Design and Prototyping of a Low-cost Portable Mechanical Ventilator ,Article sur le design et le prototypage d'un respirateur lowtech,SANTE,HOPITAL,DIY,RESPIRATEUR_VENTILATOR,INSTITUTION,MIT  Department of Mechanical Engineering,http://web.mit.edu/2.75/projects/DMD_2010_Al_Husseini.pdf,,,,,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.50.45.png,,,,en,TS,NR,,OUI,
Sanitary Door Handle / Foot Door Handle,Accessoire permettant une utilisation du materiel domestique avec le pied,SANTE,PROTECTION,DIY,PORTE,ANONYME,,https://www.thingiverse.com/thing:356920,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.51.27.png,,,,en,TS,NR,,OUI,
Cigar pipe style respirator / mask,Enbout/ valve de respirateur en I3D,SANTE,PROTECTION,DIY,AUTRE,ANONYME,,https://www.thingiverse.com/thing:4189592,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.53.26.png,,,,en,TS,NR,,OUI,
Flexible Mask Valvy,,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4177128,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.55.55.png,,,,en,TS,NR,,OUI,
Simply Flexible Mask,,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4164771,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.56.50.png,,,,en,TS,NR,,OUI,
Flexible Mask,,SANTE,PROTECTION,DIY,MASQUE_I3D,ANONYME,,https://www.thingiverse.com/thing:4160337,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2013.57.37.png,,,,en,TS,NR,,OUI,
The Pandemic Ventilator,Assembly instructions for a DIY Ventilator prototype,SANTE,PROTECTION,DIY,RESPIRATEUR_VENTILATOR,GROUPE,Panvent,https://www.instructables.com/id/The-Pandemic-Ventilator/,,,,3D print,,,NA,NA,NA,NA,https://cdn.instructables.com/F4M/LUIM/FAKWQ638/F4MLUIMFAKWQ638.LARGE.jpg?auto=webp&frame=1&fit=bounds,,,,en,TS,NR,,OUI,
3dline_mask,,SANTE,PROTECTION,DIY,MASQUE_I3D,GROUPE,OpenSourceMask,https://drive.google.com/file/d/1HxtHyrJs4f1yyogTcjuxWnolE3HNxW_2/view,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2014.48.28.png,,,,it,TS,NR,,OUI,
COVID-19-FACE-SHIELD-master,,SANTE,PROTECTION,DIY,VISIERE,GROUPE,OpenSourceMask,https://drive.google.com/file/d/1gUgknfqFcHR2Fp6rdzB6_OUpbvgBB_Ya/view,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2014.45.17.png,,,,it,TS,NR,,OUI,
"Reusable Full-Face Snorkel Mask PPE Project
",,SANTE,PROTECTION,DIY/GROUPE,MASQUE_SNORKLING,GROUPE,,https://docs.google.com/document/d/1J22le3dBZBnNDXGlJLRb38z7v7LaOjKfDeN9f0tFeKY/edit?fbclid=IwAR13JUjcYwYhvus415Gx7jCbCFQ2qb833_2A88HJNF2zqJty6jaP1xBKz2Q#heading=h.qepwlul21cwk,,,,,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2014.49.09.png,,,,en,CG,NR,,OUI,
Mascarilla casera,Tutoriel pour la réalisation d'un masque en tissu,SANTE,PROTECTION,DIY,MASQUE_TISSU,GROUPE,Albaciudad93.fm,https://albaciudad.org/2020/03/tapabocas-mascarillas-coronavirus-metro-como-hacer-uno/,,,,Low tech (recup'),,,NA,NA,NA,NA,https://albaciudad.org/wp-content/uploads/2020/03/nasobuco-10.jpg,,,,es,TS,NR,,OUI,
PAPR Personal Air Powered Respirator DIY,,SANTE,PROTECTION,DIY,RESPIRATEUR_VENTILATOR,ANONYME,,https://www.thingiverse.com/thing:3806256,,,,3D print & arduino,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2014.51.47.png,,,,en,TS,NR,,OUI,
Powered air-purifying respirator from a standard 3M respirator,,SANTE,PROTECTION,DIY,RESPIRATEUR_VENTILATOR,ANONYME,,https://www.thingiverse.com/thing:2843547,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2014.54.03.png,,,,en,TS,NR,,OUI,
Tutoriel DIY Hand Sanitiser - Gel hydro-alcoolique,,SANTE,HYGIENE,DIY,GEL,INDIVIDU,,https://www.youtube.com/watch?v=qsX7tEM6gFA&feature=share,,,,Chimics,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2014.56.17.png,,,,en,TS,NR,,OUI,
Masques I3D par HP,,SANTE,PROTECTION,DIY/INDUSTRIEL,MASQUE_I3D,INSTITUTION,,https://www.usine-digitale.fr/article/covid-19-hp-se-mobilise-pour-combler-la-penurie-de-materiel-medical-grace-a-l-impression-3d.N945776,,,,3Dprint,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2014.57.50.png,,,,en,CG,VALIDE_PAR_AUTORITE_FR,,OUI,
FLU REUSABLE MASK,,SANTE,PROTECTION,DIY,VISIERE,INDIVIDU,,https://grabcad.com/library/coronavirus-flu-reusable-mask-1,,,,3D print,,,NA,NA,NA,NA,https://d2t1xqejof9utc.cloudfront.net/screenshots/pics/9bd850b5f3a2877cbd485578840740e9/large.jpg,,,,en,TS,NR,,OUI,
Visiera protettiva  Safety Face Shield  Visor mask  Visera para proteger la cara,,SANTE,PROTECTION,DIY,VISIERE,INDIVIDU,,https://www.thingiverse.com/thing:4222407/files,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2015.01.53.png,,,,es,TS,NR,,OUI,
Respiradores DIY [ coronavirus (COVID-19) ],,SANTE,PROTECTION,DIY,RESPIRATEUR_VENTILATOR,INDIVIDU,,https://cad.onshape.com/documents/a5d67baebef4534615731db1/w/8f5a8b35130cb7578c857eaf/e/ba0c1d2ee3dcce3891392f6f,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2015.03.00.png,,,,en,TS,NR,,OUI,
máscara primera linea corona-virus,,SANTE,PROTECTION,DIY,VISIERE,INDIVIDU,,https://grabcad.com/library/mascara-primera-linea-corona-virus-1,,,,3D print,,,NA,NA,NA,NA,https://d2t1xqejof9utc.cloudfront.net/screenshots/pics/9b01d3dd16209d997428f9e3c2d43cb8/large.png,,,,es,TS,NR,,OUI,
Porta Pantalla Facial,,SANTE,PROTECTION,DIY,VISIERE,INDIVIDU,,https://cad.onshape.com/documents/a1c094e197aed615ee86edfc/w/f99a6e78c9826fd5d845371a/e/62eb766b6559dea96752095f,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2015.04.16.png,,,,es,TS,NR,,OUI,
Respirador 23,,SANTE,PROTECTION,DIY,RESPIRATEUR_VENTILATOR,Groupe,Reesistencia,https://www.dropbox.com/s/pt65at0gktnzxg8/Reespirator23%20-%20Reespirator23.stp-1%20conjunto.stp-1%20empujador.stp-1.STL?dl=0,,,,3D print,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2015.05.11.png,,,,es,CG,NR,,OUI,
Respirateur,,SANTE,,DIY,RESPIRATEUR_VENTILATOR,ANONYME,,https://drive.google.com/drive/u/0/folders/12w20nDsfiIU89UhyNStr0hOPp0wjCocb,,,,,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/covid-viz/master/illustrations/masks_visieres/Capture%20d%E2%80%99%C3%A9cran%202020-03-29%20%C3%A0%2015.07.24.png,,,,en,CG,NR,,OUI,
Visière Prusa - Version de base,Prusa,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/25857-prusa-protective-face-shield-rc2,,,,,,,NA,NA,NA,NA,https://media.prusaprinters.org/thumbs/cover/640x480/media/prints/25857/images/261613_7194822b-d479-4c81-b71a-1308a86ca866/stit_bij.jpg,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,en,TS,NR,,OUI,
"Visière Prusa - Remix -""#resistancecovid""",Prusa (Remix),SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/26427-prusa-protective-face-shield-rc1-rc2-remix-rc3-eas,,,,,,,NA,NA,NA,NA,https://pbs.twimg.com/media/ETzBaroXQAEBQ4Q?format=jpg&name=large,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,en,TS,NR,,OUI,
Visière Prusa - RC03,Prusa,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.prusaprinters.org/prints/26427-shield-face-protection-rc3-remix-of-rc2-without-an/files,,,,,,,NA,NA,NA,NA,https://media.prusaprinters.org/thumbs/cover/640x480/media/prints/26427/images/268758_f762baa6-9127-4357-956b-e46135786e27/shiel-protection-rc3-v5.jpg,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,en,TS,NR,,OUI,
3D printed COVID-19 Face Shield Mask - Manual for makers (blackbelt),,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.linkedin.com/pulse/3d-printed-covid-19-face-shield-mask-manual-makers-sch%C3%BCrmann/,,,,,,,NA,NA,NA,NA,https://media-exp1.licdn.com/dms/image/C4D12AQHpb8k0KpBaQA/article-inline_image-shrink_1500_2232/0?e=1590624000&v=beta&t=rX6HsR40zCdwPTXmPu_6sVUXUdHIStaICRO9j6N-iXU,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,en,TS,NR,,OUI,
Visiere de protection,Visiere de protection -,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://www.thingiverse.com/thing:4238117,,,,,,,NA,NA,NA,NA,https://cdn.thingiverse.com/assets/f6/3f/0e/57/26/featured_preview_CAO_visiere.jpg,,https://docs.google.com/spreadsheets/d/1jpDEPTE5adj8FiwWpyOaMbNJOsyynJKzqXmpooCHnog/edit#gid=0,,fr,TS,NR,,OUI,
Stratasys Face Shield,Visière de protection,SANTE,PROTECTION,DIY,VISIERE,GROUPE,,https://go.stratasys.com/lp-face-shield.html,,,PLA,,,,NA,NA,NA,NA,https://raw.githubusercontent.com/co-demos/cis-data/master/illustrations/textures/medium_fiche_10.png?raw=true,Pas de matériau de support,https://docs.google.com/spreadsheets/d/1AuFOZjWxkcBIKoZVbi31pURp7h0B0VY9O9Rmct-_KU4/edit?usp=sharing,,en,TS,NR,,OUI,
MIT Emergency Ventilator (E-Vent) Project,Almost every bed in a hospital has a manual resuscitator (Ambu-Bag) nearby  available in the event of a rapid response or code where healthcare workers maintain oxygenation by squeezing the bag. Automating this appears to be the simplest strategy that satisfies the need for low-cost mechanical ventilation  with the ability to be rapidly manufactured in large quantities. However  doing this safely is not trivial.,SANTE,,DIY,RESPIRATEUR_VENTILATOR,INSTITUTION,MIT,https://e-vent.mit.edu/,,,,,,,NA,NA,NA,NA,https://e-vent.mit.edu/wp-content/uploads/2020/03/MIT_E_Vent_Mannequin_ControllerBoard_3_16_20I4193W-1-2048x1434.jpg,,,,en,TS,NR,,OUI,
Modèle de masque barrière,AFNOR met à disposition gratuitement un référentiel pour faciliter et accélérer la fabrication en série ou artisanale d’un nouveau modèle de masque  dit « masque barrière ». Celui-ci vise protéger la population saine  en complément des indispensables gestes barrières face au Coronavirus.,SANTE,,DIY,MASQUE_TISSU,NR,AFNOR,https://www.afnor.org/actualites/coronavirus-telechargez-le-modele-de-masque-barriere/,,,,,,,NA,NA,NA,NA,https://www.afnor.org/wp-content/uploads/2020/03/GettyImages-pixelfit-1212782109.jpg,,,,fr,JPy,NR,,OUI,
Valvula Venturi Respirateur,"Author: Source: cults3d
Validation médical : Pas validé
Temps d'impression : 3h30
Status du projet : Final
Impression resine SLA/LCDNote retour médical : Prêt pour test.",SANTE,,DIY,VALVE,NR,,https://wiki.resistancecovid.com/doku.php?id=valve_respiratoire_rc1,,,,,,,NA,NA,NA,NA,https://resistancecovid.com/files/valvulaventuri/valvula-venturi-respirador.jpg,,https://resistancecovid.com/,,fr,JPy,NR,,OUI,
